,area,sample.sampledMaterialType.label,sample.samplingPoint.label,year,Chloride [mg/l],Nitrite as N [mg/l],Nitrate as N [mg/l],"Oxygen, Dissolved, % Saturation [%]",pH [phunits],Temperature of Water [cel]
5411,Midlands,CANAL WATER,"TRENT & MERSEY CANAL, BARROW ON TRENT",2000,65.8,0.0375,7.4925,98.25,7.866666666666667,11.35
0,Anglian,CANAL WATER,GRAND UNION CANAL BOWLERS BR.SIMPSON,2003,44.35833333333333,0.031309090909090904,2.4885454545454544,89.82727272727273,8.085833333333333,12.734166666666667
19,Anglian,CANAL WATER,GRAND UNION CANAL FOXTON/GUMLEY RD.BR.,2007,35.075,0.020225,4.08,85.16,7.99,7.766
5347,Midlands,CANAL WATER,STRATFORD CANAL BIRMINGHAM RD STRATFORD,2001,44.25384615384615,0.063,3.0457272727272726,85.92307692307692,7.938461538461539,10.453846153846154
5356,Midlands,CANAL WATER,TAME VALLEY CANAL  NEWTON ROAD,2001,49.275,0.016833333333333332,1.7675,108.66666666666667,7.945454545454546,11.408333333333333
5114,Midlands,CANAL WATER,BHAM CANAL WOLVERHAMPTON LEV - BRADES RD,2008,108.48333333333333,0.018722222222222223,0.7973333333333333,87.0,8.135,10.784166666666666
5338,Midlands,CANAL WATER,STAFFS/WORCESTER CANAL STOURPORT BASIN,2008,97.23333333333333,0.02,7.9191666666666665,89.25,7.633333333333333,11.508333333333333
5396,Midlands,CANAL WATER,TRENT & MERSEY CANAL - TRUBSHAW CROSS,2003,46.19166666666666,0.022833333333333334,0.9484166666666667,78.58333333333333,7.4750000000000005,12.075000000000001
5355,Midlands,CANAL WATER,TAME VALLEY CANAL  NEWTON ROAD,2000,53.625,0.014916666666666667,1.202142857142857,113.25,8.125,13.663636363636364
19514,North West,CANAL WATER,SHROPSHIRE UNION CANAL LLAN BR HADLEY HL,2000,14.758333333333333,0.020454545454545454,1.8521818181818182,93.08333333333333,7.5874999999999995,12.424999999999999
19524,North West,CANAL WATER,SHROPSHIRE UNION CANAL WHITCHURCH ROAD,2004,90.48333333333333,0.0325,10.021666666666667,98.16666666666667,8.108333333333333,11.633333333333333
5441,Midlands,CANAL WATER,WORCS & BIRM CANAL GRANGE LNE ALVECHURCH,2006,37.925000000000004,0.03555,0.6016666666666667,66.83333333333333,7.8500000000000005,12.333333333333334
25,Anglian,CANAL WATER,GRAND UNION CANAL MARSWORTH,2003,43.35833333333333,0.03846666666666666,3.577916666666667,120.65833333333335,8.4975,12.771666666666667
19517,North West,CANAL WATER,SHROPSHIRE UNION CANAL LLAN BR HADLEY HL,2003,13.741666666666667,0.016181818181818183,1.0943333333333334,92.16666666666667,7.671666666666667,11.591666666666667
5362,Midlands,CANAL WATER,TAME VALLEY CANAL  NEWTON ROAD,2007,38.975,0.00916,1.5521,87.83333333333333,7.683333333333334,11.041666666666666
5426,Midlands,CANAL WATER,WALSALL CANAL  MOORS MILL LANE TOLL END,2008,69.48571428571428,0.03261818181818182,1.1044545454545456,86.33333333333333,7.675,11.616666666666667
5100,Midlands,CANAL WATER,BALLS HILL BRANCH CNL PHOENIX ST W.BROM,2007,71.50833333333334,0.017983333333333334,0.8235,94.08333333333333,5.733333333333333,11.975
5267,Midlands,CANAL WATER,OXFORD CANAL FENNY COMPTON,2006,46.65833333333333,0.024299090909090906,4.7865,89.08333333333333,7.991666666666667,12.891666666666666
19534,North West,CANAL WATER,TRENT AND MERSEY CANAL AT THURLWOOD,2002,54.00909090909091,0.030909090909090907,1.560909090909091,95.41666666666667,7.62,11.583333333333334
5174,Midlands,CANAL WATER,DAW END BRANCH RUSHALL CANAL ALDRIDGE RD,2000,42.776923076923076,0.02881818181818182,2.423,94.76923076923077,7.861538461538462,11.46923076923077
5292,Midlands,CANAL WATER,OXFORD CANAL WILLOUGHBY,2004,51.184615384615384,0.045384615384615384,4.739307692307692,87.78571428571429,7.921428571428572,13.028571428571428
5345,Midlands,CANAL WATER,STAINFORTH AT KEADBY,2008,91.71428571428571,0.018041666666666668,3.1649166666666666,94.91666666666667,8.325000000000001,11.0
5349,Midlands,CANAL WATER,STRATFORD CANAL BIRMINGHAM RD STRATFORD,2003,50.607692307692304,0.03192307692307693,0.7832307692307693,82.0,7.653846153846154,13.153846153846153
22,Anglian,CANAL WATER,GRAND UNION CANAL GRAFTON RD.BR.,2005,48.04545454545455,0.03384545454545454,5.641818181818182,84.94545454545454,7.880909090909091,12.346363636363636
5104,Midlands,CANAL WATER,"BHAM CANAL BHAM LEVEL, D/S HMIP HEPWORTH",2005,98.9,0.046,1.0301,97.2,7.9,12.43
19528,North West,CANAL WATER,ST HELENS CANAL ADJ FIDDLERS SETTLED DIS,2013,270.0,0.228,18.2,6.1,7.76,20.5
19538,North West,CANAL WATER,TRENT AND MERSEY CANAL AT THURLWOOD,2006,57.800000000000004,0.04465333333333333,2.1705,94.91666666666667,8.008333333333335,13.283333333333333
5195,Midlands,CANAL WATER,"G/S CANAL, LLANTHONY BRIDGE",2000,42.82727272727273,0.04609090909090909,5.150909090909091,89.63636363636364,8.08181818181818,12.827272727272726
5151,Midlands,CANAL WATER,COVENTRY CANAL FOXFORD,2000,48.15,0.02033333333333333,4.3533333333333335,74.75,7.841666666666666,12.466666666666667
5115,Midlands,CANAL WATER,BHAM/FAZELEY CANAL  FAZELEY,2000,53.69285714285714,0.03,2.5995,85.92857142857143,7.783333333333334,10.542857142857143
5250,Midlands,CANAL WATER,GRANTHAM CANAL AT WOOLSTHORPE,2008,46.300000000000004,0.02742,2.3972,97.33333333333333,7.883333333333333,10.816666666666668
24,Anglian,CANAL WATER,GRAND UNION CANAL GRAFTON RD.BR.,2007,35.6,0.0316,7.267142857142857,98.02857142857144,8.0,12.422857142857143
17,Anglian,CANAL WATER,GRAND UNION CANAL FOXTON/GUMLEY RD.BR.,2005,42.68333333333334,0.015908333333333333,1.8402500000000002,76.86666666666667,7.858333333333333,10.236666666666666
5124,Midlands,CANAL WATER,BHAM/FAZELEY CANAL  MINWORTH LOCK,2000,60.41538461538461,0.013,3.0,116.6923076923077,8.207692307692309,11.841666666666667
5359,Midlands,CANAL WATER,TAME VALLEY CANAL  NEWTON ROAD,2004,54.63333333333333,0.017499999999999998,1.3086666666666666,84.23076923076923,7.8076923076923075,11.8
5414,Midlands,CANAL WATER,"TRENT & MERSEY CANAL, BARROW ON TRENT",2003,102.5,0.02,7.085,88.0,8.0,11.899999999999999
5089,Midlands,CANAL WATER,ASHBY CANAL  BURTON HASTINGS,2001,31.825,0.04658333333333333,7.478333333333333,85.33333333333333,7.8825,11.75
5142,Midlands,CANAL WATER,COVENTRY CANAL  FRADLEY AIRFIELD,2007,56.86666666666667,0.0101575,2.3441666666666667,78.83333333333333,7.916666666666667,11.441666666666668
5435,Midlands,CANAL WATER,WORCESTER & BIRMINGHAM CANAL AT DIGLIS,2008,46.48571428571429,0.028008333333333333,1.9910833333333333,88.16666666666667,7.766666666666667,12.958333333333334
5184,Midlands,CANAL WATER,DUDLEY CANAL AT CRADLEY RD NETHERTON,2004,102.03333333333335,0.01,0.3712727272727273,111.83333333333333,8.208333333333334,11.975
5243,Midlands,CANAL WATER,GRAND UNION CANAL SOUTH KILWORTH,2007,25.799999999999997,0.019315454545454545,3.8815384615384616,85.23076923076923,7.9,11.584615384615384
5212,Midlands,CANAL WATER,"G/S CANAL, SPLATT BRIDGE",2006,39.75833333333333,0.046875,5.4624999999999995,99.6923076923077,8.115384615384615,12.546153846153846
5152,Midlands,CANAL WATER,COVENTRY CANAL FOXFORD,2003,57.18333333333334,0.017833333333333333,2.1718333333333333,78.25,7.783333333333334,11.208333333333334
19499,North West,CANAL WATER,SHROPSHIRE UNION CANAL AT BEESTON,2001,39.455555555555556,0.048,5.903333333333332,86.22222222222223,7.756666666666667,11.833333333333334
5226,Midlands,CANAL WATER,GRAND UNION CANAL RADFORD SEMELE,2000,51.949999999999996,0.05466666666666667,2.7883333333333336,90.16666666666667,8.283333333333333,11.049999999999999
5330,Midlands,CANAL WATER,STAFFS/WORCESTER CANAL STOURPORT BASIN,2000,94.33333333333333,0.029083333333333333,5.524166666666667,91.91666666666667,7.983333333333333,12.033333333333333
5339,Midlands,CANAL WATER,STAFFS/WORCESTER CANAL STOURPORT BASIN,2009,71.3,0.016146153846153845,6.076153846153845,94.92307692307692,7.961538461538462,10.715384615384615
19485,North West,CANAL WATER,MACCLESFIELD CANAL@HIGH LANE (A6 BRIDGE),2002,31.21666666666667,0.023249999999999996,0.954625,76.66666666666667,7.625,11.700000000000001
5162,Midlands,CANAL WATER,COVENTRY CANAL OLD CHURCH ROAD BRIDGE,2006,73.3,0.013393333333333333,3.78425,82.75,8.016666666666667,12.391666666666666
5368,Midlands,CANAL WATER,TRENT & MERSEY CANAL - ASTON,2004,40.53846153846154,0.03115384615384615,2.7602307692307693,85.3076923076923,7.738461538461538,11.315384615384614
5,Anglian,CANAL WATER,GRAND UNION CANAL BROCKHALL ROAD BRIDGE,2003,77.86666666666666,0.039125,4.973333333333334,79.35833333333333,7.71,12.236666666666666
5103,Midlands,CANAL WATER,"BHAM CANAL BHAM LEVEL, D/S HMIP HEPWORTH",2004,86.48333333333333,0.05333333333333334,1.4675833333333335,107.58333333333333,8.075000000000001,12.158333333333333
5215,Midlands,CANAL WATER,"GLOS-SHARPNESS CANAL, PATCH BRIDGE",2003,53.925000000000004,0.0546,6.664,95.33333333333333,8.016666666666667,12.725
5189,Midlands,CANAL WATER,DUDLEY CANAL DUDLEY MIXED CONCRETE,2003,96.675,0.015272727272727273,0.4928181818181818,97.08333333333333,8.316666666666666,12.408333333333333
19480,North West,CANAL WATER,LLANGOLLEN CANAL AT      PORTERS MILL WR,2002,13.541666666666666,0.017416666666666667,1.7274,94.5,7.7749999999999995,12.283333333333333
5344,Midlands,CANAL WATER,STAINFORTH AT KEADBY,2007,76.65833333333333,0.015566666666666666,3.3516666666666666,92.83333333333333,8.158333333333333,12.466666666666667
16,Anglian,CANAL WATER,GRAND UNION CANAL FOXTON/GUMLEY RD.BR.,2004,39.050000000000004,0.029458333333333336,3.394916666666667,77.50833333333334,8.009166666666667,11.745833333333332
19509,North West,CANAL WATER,SHROPSHIRE UNION CANAL AT EGG BRIDGE,2003,57.09166666666667,0.03158333333333333,4.615,91.83333333333333,7.776666666666666,11.991666666666667
19536,North West,CANAL WATER,TRENT AND MERSEY CANAL AT THURLWOOD,2004,56.09166666666667,0.029583333333333333,1.4100833333333334,94.66666666666667,7.675,11.783333333333333
5380,Midlands,CANAL WATER,TRENT & MERSEY CANAL - HARECASTLE TUNNEL,2010,61.73333333333333,0.0111,1.7333333333333334,70.66666666666667,7.599999999999999,11.183333333333335
3,Anglian,CANAL WATER,GRAND UNION CANAL BOWLERS BR.SIMPSON,2006,57.94166666666666,0.0146375,0.36011111111111105,71.075,7.9175,12.055833333333332
18,Anglian,CANAL WATER,GRAND UNION CANAL FOXTON/GUMLEY RD.BR.,2006,46.5,0.026925,2.8769166666666663,86.21666666666665,7.925,10.88
5230,Midlands,CANAL WATER,GRAND UNION CANAL RADFORD SEMELE,2004,59.25,0.029833333333333333,3.6916666666666664,103.33333333333333,8.25,11.483333333333334
5118,Midlands,CANAL WATER,BHAM/FAZELEY CANAL  FAZELEY,2003,53.20769230769231,0.016384615384615383,1.5224615384615385,62.61538461538461,7.515384615384615,10.584615384615384
5278,Midlands,CANAL WATER,OXFORD CANAL HILLMORTON,2008,31.016666666666666,0.013633333333333332,2.3034166666666667,82.41666666666667,7.866666666666667,11.216666666666667
5287,Midlands,CANAL WATER,OXFORD CANAL NAPTON FLDS LANE BR NAPTON,2008,28.071428571428573,0.012523076923076923,2.22825,88.46153846153847,8.076923076923077,10.846153846153847
5231,Midlands,CANAL WATER,GRAND UNION CANAL RADFORD SEMELE,2005,54.46666666666667,0.023500000000000004,2.9183333333333334,81.16666666666667,8.15,12.566666666666668
5121,Midlands,CANAL WATER,BHAM/FAZELEY CANAL  FAZELEY,2006,57.800000000000004,0.018542857142857142,2.0286999999999997,77.5,7.833333333333333,12.958333333333334
5168,Midlands,CANAL WATER,DAW END BRANCH RUSHALL C CLAYHANGER BRDG,2003,45.525,0.0109,0.6167,75.91666666666667,7.6499999999999995,10.975
5343,Midlands,CANAL WATER,STAINFORTH AT KEADBY,2006,116.625,0.041094000000000006,3.8003636363636364,92.66666666666667,8.341666666666667,12.241666666666667
5280,Midlands,CANAL WATER,OXFORD CANAL NAPTON FLDS LANE BR NAPTON,2001,33.891666666666666,0.0315,2.6885454545454546,86.75,8.008333333333335,11.299999999999999
29,Anglian,CANAL WATER,GRAND UNION CANAL MARSWORTH,2007,51.15,0.023771428571428572,2.6974285714285715,125.67142857142858,8.268571428571429,14.12857142857143
5206,Midlands,CANAL WATER,"G/S CANAL, LLANTHONY BRIDGE",2011,54.416666666666664,0.04095833333333333,5.008333333333334,90.61666666666667,8.0275,13.031666666666666
5323,Midlands,CANAL WATER,STAFFS/WORCESTER CANAL AT COMPTON BRIDGE,2008,102.43333333333334,0.07715833333333334,15.825000000000001,93.66666666666667,7.6499999999999995,11.616666666666667
26,Anglian,CANAL WATER,GRAND UNION CANAL MARSWORTH,2004,42.96666666666667,0.034058333333333336,2.565583333333333,99.52749999999999,8.236666666666666,12.075000000000001
7,Anglian,CANAL WATER,GRAND UNION CANAL BROCKHALL ROAD BRIDGE,2005,88.52499999999999,0.055150000000000005,5.1466666666666665,62.975,7.616666666666667,12.001666666666667
19502,North West,CANAL WATER,SHROPSHIRE UNION CANAL AT BEESTON,2004,59.0,0.046250000000000006,6.888333333333333,93.58333333333333,7.875,11.491666666666667
5166,Midlands,CANAL WATER,DAW END BRANCH RUSHALL C CLAYHANGER BRDG,2001,36.945454545454545,0.0115,0.843,92.27272727272727,7.845454545454545,11.463636363636365
5289,Midlands,CANAL WATER,OXFORD CANAL WILLOUGHBY,2001,41.323076923076925,0.03692307692307692,4.071166666666667,83.53846153846153,7.9692307692307685,11.63076923076923
19513,North West,CANAL WATER,SHROPSHIRE UNION CANAL AT EGG BRIDGE,2007,46.0,0.0299625,7.5275,75.58333333333333,7.68,12.616666666666667
5176,Midlands,CANAL WATER,DAW END BRANCH RUSHALL CANAL ALDRIDGE RD,2002,43.292857142857144,0.01807142857142857,2.116142857142857,82.85714285714286,7.607142857142857,11.278571428571428
5172,Midlands,CANAL WATER,DAW END BRANCH RUSHALL C CLAYHANGER BRDG,2007,44.925000000000004,0.014291666666666668,0.8501428571428572,88.25,7.741666666666667,12.308333333333332
5251,Midlands,CANAL WATER,NUT BROOK CANAL CONF WITH EREWASH CANAL,2000,138.25714285714284,0.026538461538461535,2.227,100.86428571428571,8.185714285714285,11.899999999999999
5233,Midlands,CANAL WATER,GRAND UNION CANAL RADFORD SEMELE,2007,47.166666666666664,0.036485,3.276666666666667,75.66666666666667,8.016666666666667,11.833333333333334
5392,Midlands,CANAL WATER,TRENT & MERSEY CANAL - HEM HEATH,2006,41.28333333333333,0.00746875,1.42225,83.16666666666667,7.758333333333333,12.033333333333333
5407,Midlands,CANAL WATER,TRENT & MERSEY CANAL AT SHARDLOW,2005,99.54615384615384,0.048846153846153845,7.457692307692308,90.53846153846153,8.038461538461538,12.7
5213,Midlands,CANAL WATER,"G/S CANAL, SPLATT BRIDGE",2007,33.13333333333333,0.035866666666666665,5.823333333333333,99.91666666666667,8.25,13.091666666666667
19503,North West,CANAL WATER,SHROPSHIRE UNION CANAL AT BEESTON,2005,60.09166666666667,0.035583333333333335,6.395833333333333,90.5,7.908333333333334,11.950000000000001
19494,North West,CANAL WATER,MSC AT MEDIA CITY FOOTBRIDGE,2020,31.333333333333332,0.043666666666666666,2.856666666666667,91.46666666666665,7.926666666666667,6.8
5199,Midlands,CANAL WATER,"G/S CANAL, LLANTHONY BRIDGE",2004,53.2,0.047846153846153844,5.743846153846154,95.29411764705883,8.01764705882353,13.976470588235294
19531,North West,CANAL WATER,ST HELENS CANAL FIDDLERS UNSETTLED DISCH,2013,294.0,0.329,16.8,7.3,7.5,19.8
5295,Midlands,CANAL WATER,OXFORD CANAL WILLOUGHBY,2007,37.69285714285714,0.019091666666666667,2.4839285714285713,82.57142857142857,7.935714285714286,13.092857142857143
5409,Midlands,CANAL WATER,TRENT & MERSEY CANAL AT SHARDLOW,2007,93.60769230769232,0.056053846153846155,8.347692307692308,92.84615384615384,8.053846153846154,13.061538461538463
5257,Midlands,CANAL WATER,NUT BROOK CANAL CONF WITH EREWASH CANAL,2006,255.08333333333334,0.018604444444444444,1.8866666666666667,87.58333333333333,7.991666666666667,12.866666666666667
5167,Midlands,CANAL WATER,DAW END BRANCH RUSHALL C CLAYHANGER BRDG,2002,39.353846153846156,0.013166666666666667,1.4318333333333335,84.61538461538461,7.7153846153846155,10.515384615384617
19529,North West,CANAL WATER,ST HELENS CANAL AT MARINA LOCKS,2013,277.0,0.197,13.1,60.0,7.62,19.6
